0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:34 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:34 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:50 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4735
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:50 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:58 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:58 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:39 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:39 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:48 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:48 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:51:51 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4751
